age,income,title,experience,instrument,band
40,40840,performer,13,guitar,1
54,21689,composer,11,voice,1
37,43153,composer,28,piano,0
47,58113,composer,31,violin,0
52,24518,producer,13,guitar,1
52,43574,composer,27,drums,1
58,27637,performer,9,violin,1
57,25707,performer,8,piano,1
37,26169,composer,8,piano,0
28,30852,educator,9,guitar,1
65,48403,composer,22,guitar,1
51,40874,educator,15,guitar,0
49,29925,performer,9,piano,1
37,20350,manager,9,voice,1
38,25049,performer,17,drums,1
41,33209,producer,29,voice,1
37,35711,performer,14,piano,0
40,61691,performer,28,saxophone,1
43,24854,performer,6,voice,1
57,24583,performer,31,drums,0
39,45258,performer,24,violin,1
39,36205,performer,15,guitar,1
29,33473,performer,13,piano,1
47,24387,performer,13,guitar,0
50,51984,performer,23,guitar,1
33,51034,producer,30,voice,0
44,25734,educator,15,guitar,1
37,33425,manager,10,voice,1
41,33206,producer,16,drums,1
48,41256,performer,26,voice,0
38,36601,educator,25,voice,0
39,49320,performer,23,piano,1
43,33309,performer,12,voice,1
37,18990,educator,4,guitar,1
53,24624,performer,1,drums,1
56,70057,composer,31,piano,0
46,40902,performer,7,drums,1
33,33338,performer,8,guitar,1
35,20356,manager,6,piano,1
32,29609,producer,11,voice,1
55,30095,educator,23,drums,1
44,35895,composer,11,piano,1
55,29730,performer,9,drums,1
44,33757,composer,15,piano,1
32,40882,performer,15,voice,0
39,32086,educator,9,drums,1
34,41498,composer,14,guitar,1
47,45242,educator,16,voice,1
41,20724,performer,5,piano,1
22,39822,composer,17,piano,1
31,45467,performer,12,voice,1
55,29886,performer,10,drums,1
34,35558,composer,11,voice,0
49,27715,educator,7,guitar,1
46,36945,performer,17,guitar,1
45,30362,educator,18,guitar,1
59,36526,educator,28,voice,0
59,42186,composer,17,voice,1
52,60303,performer,42,piano,0
34,37642,producer,12,voice,1
32,36687,producer,27,violin,1
39,48350,performer,40,guitar,1
39,27173,performer,12,voice,1
54,31991,performer,11,voice,1
34,22114,performer,9,piano,1
66,25016,composer,22,guitar,1
53,22514,performer,3,voice,1
23,21079,educator,25,drums,0
28,21473,performer,17,guitar,1
43,33086,educator,29,drums,0
51,21535,performer,9,voice,1
35,31174,producer,12,drums,1
66,53876,performer,26,voice,0
40,30367,composer,27,voice,0
45,34015,performer,29,voice,0
50,16583,educator,5,drums,1
36,37421,educator,10,drums,1
26,18467,performer,3,voice,1
41,33011,performer,28,drums,0
28,34084,composer,15,saxophone,1
43,39797,manager,19,voice,1
48,63969,educator,33,piano,0
37,43700,performer,14,voice,1
35,37162,educator,17,voice,1
31,25220,performer,16,drums,1
37,31216,producer,30,guitar,1
49,29417,educator,17,piano,1
58,51682,performer,25,guitar,0
38,30383,performer,13,guitar,0
38,45996,producer,16,guitar,1
29,29576,performer,13,guitar,1
35,63889,manager,36,guitar,0
50,54892,performer,39,piano,0
30,71131,performer,45,drums,0
31,42709,performer,19,drums,0
44,34082,educator,19,drums,1
32,40700,performer,34,voice,1
40,61084,performer,38,voice,0
53,22003,performer,15,drums,1
56,35558,composer,30,piano,0
